config,n_features,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold
B_rate_statistical,11,1.0,0.9820941390448117,0.990966190453589,0.9999919722609381,0.9998612957290643,0.0,0.01790586095518831,1210,0,571,31318,1210,31889,1
B_rate_statistical,11,0.9999847419093975,0.999992370896496,0.9999885563883962,0.9999993977000999,0.9999584269142388,0.0010735373054213634,7.629103504047239e-06,1861,2,1,131076,1863,131077,2
B_rate_statistical,11,0.971718324894546,1.0,0.9856563309533746,0.9992509019089291,0.9824965583106897,0.850518336863226,0.0,1341,7630,0,262156,8971,262156,3
B_rate_statistical,11,0.999982943303541,0.994408322496749,0.997187841952182,0.9999993223510415,0.9997661924840079,0.006060606060606061,0.005591677503250975,492,3,989,175881,495,176870,4
B_rate_statistical,11,0.9999942026296872,0.9999710138206104,0.9999826080907162,0.9999999983869378,0.9999997670315531,0.0008460236886632825,2.8986179389667007e-05,1181,1,5,172491,1182,172496,5
