config,n_features,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold
cum2_+directional,27,1.0,0.9857317570322055,0.9928146171217409,0.9999988169569477,0.9999696908361624,0.0,0.014268242967794538,1210,0,455,31434,1210,31889,1
cum2_+directional,27,0.999992370896496,0.999992370896496,0.999992370896496,0.9999999999417972,0.9999999959049364,0.0005367686527106817,7.629103504047239e-06,1862,1,1,131076,1863,131077,2
cum2_+directional,27,0.9717111213248921,1.0,0.9856526250883552,0.999996228569111,0.9998868822463481,0.8507412774495597,0.0,1339,7632,0,262156,8971,262156,3
cum2_+directional,27,1.0,0.9987844179340759,0.9993918393324376,1.0,1.0,0.0,0.001215582065924125,495,0,215,176655,495,176870,4
cum2_+directional,27,0.9998956576178634,0.9999710138206104,0.9999333342995029,0.9999999943550925,0.9999991760273879,0.015228426395939087,2.8986179389667007e-05,1164,18,5,172491,1182,172496,5
