config,n_features,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold
cum5_+protocol_all66,66,1.0,0.9984320612123303,0.9992154155159427,0.9999999410144256,0.9999984450193842,0.0,0.0015679387876697294,1210,0,50,31839,1210,31889,1
cum5_+protocol_all66,66,0.9999923709546987,1.0,0.9999961854627988,0.9999999999417972,0.9999999959049364,0.0005367686527106817,0.0,1862,1,0,131077,1863,131077,2
cum5_+protocol_all66,66,0.9717075195801164,1.0,0.9856507721662954,0.9999991131445108,0.9999734892589207,0.8508527477427266,0.0,1338,7633,0,262156,8971,262156,3
cum5_+protocol_all66,66,1.0,0.9999943461299259,0.9999971730569713,1.0,1.0,0.0,5.653870074065698e-06,495,0,1,176869,495,176870,4
cum5_+protocol_all66,66,1.0,0.9999826082923662,0.9999913040705646,0.9999999991262977,0.9999998724804291,0.0,1.7391707633800203e-05,1182,0,3,172493,1182,172496,5
