config,n_features,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold
F_protocol_indicator,1,0.013333333333333334,0.0002508702060271567,0.0004924743759426268,0.9636797193039541,0.26237622030343377,0.48925619834710743,0.9997491297939728,618,592,31881,8,1210,31889,1
F_protocol_indicator,1,0.002188183807439825,1.5258207008094479e-05,3.0305096559613914e-05,0.9860969312444056,0.25979774579115406,0.4895330112721417,0.9999847417929919,951,912,131075,2,1863,131077,2
F_protocol_indicator,1,0.995020268116052,0.5,0.6655563736068445,0.9809908630478472,0.7138175620398327,0.07312451231746739,0.5,8315,656,131078,131078,8971,262156,3
F_protocol_indicator,1,0.9981571873500811,0.7411036354384576,0.8506348335934534,0.9979160847799474,0.6268787781701219,0.4888888888888889,0.25889636456154236,253,242,45791,131079,495,176870,4
F_protocol_indicator,1,0.9955947805745013,0.7599132733512661,0.8619336002998441,0.9950293390867605,0.635401467314733,0.4906937394247039,0.24008672664873387,602,580,41414,131082,1182,172496,5
