experiment,n_rows,n_dup_removed,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,pr_auc_raw,roc_auc_raw,folds_used_seed,matched_capture_partition,recall_mean,recall_std,precision_mean,f1_mean,fpr_mean,fnr_mean,pr_auc_mean,roc_auc_mean,fold1_recall,fold1_fpr,fold2_recall,fold2_fpr,fold3_recall,fold3_fpr,fold4_recall,fold4_fpr,fold5_recall,fold5_fpr
S1_frozen_full_dev,788209,0,0.9999987088227433,0.9999974176488209,0.9999980632353653,0.9999999999566557,0.9999999975533441,7.288098535092194e-05,2.5823511791015483e-06,13720.0,1.0,2.0,774486.0,13721.0,774488.0,0.9999999999566557,0.9999999975533441,,,,,,,,,,,,,,,,,,,,
S1_frozen_dedup_dev,771500,16709,0.9999986803644834,0.9999973607324495,0.9999980205480311,0.999999999954724,0.9999999974981422,7.291818579553741e-05,2.6392675504693936e-06,13713.0,1.0,2.0,757784.0,13714.0,757786.0,0.999999999954724,0.9999999974981422,,,,,,,,,,,,,,,,,,,,
S2_retrain_full,788209,0,,,,,,,,,,,,,,,,0.0,True,0.9996818031269245,0.0006986630499470298,0.994339978106963,0.9969701700545146,0.17027790327908746,0.0003181968730755191,0.9999998106454063,0.999994360532734,0.9984320612123303,0.0,1.0,0.0005367686527106817,1.0,0.8508527477427266,0.9999943461299259,0.0,0.9999826082923662,0.0
S2_retrain_dedup,771500,16709,,,,,,,,,,,,,,,,0.0,True,0.9989744016004822,0.002034612380403935,0.9942934513038766,0.996591595762696,0.17063545698148896,0.0010255983995177017,0.999992949854134,0.9997966396395022,0.995351950321645,0.0,1.0,0.0005376344086021505,1.0,0.8509476031215162,0.9995383168514349,0.0,0.9999817408293316,0.001692047377326565
