precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold,n_train_captures
1.0,0.995351950321645,0.9976705614878589,0.9999998977170179,0.9999977202606384,0.0,0.004648049678354962,1207,0,125,26768,1207,26893,1,20
0.9999923709546987,1.0,0.9999961854627988,0.9999999999999999,1.0,0.0005376344086021505,0.0,1859,1,0,131077,1860,131077,2,23
0.9714870584192183,1.0,0.9855373427591029,0.9999648557024341,0.9989860546506667,0.8509476031215162,0.0,1337,7633,0,260070,8970,260070,3,22
1.0,0.9995383168514349,0.9997691051255811,1.0,1.0,0.0,0.0004616831485650774,495,0,81,175364,495,175445,4,24
0.9999878271454656,0.9999817408293316,0.9999847839781376,0.9999999958512177,0.9999994232862056,0.001692047377326565,1.825917066846824e-05,1180,2,3,164298,1182,164301,5,23
