config,n_features,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold
C_directional,16,1.0,0.9795540782087867,0.9896714507492951,0.9999940307141457,0.999896308709265,0.0,0.02044592179121327,1210,0,652,31237,1210,31889,1
C_directional,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1863,0,0,131077,1863,131077,2
C_directional,16,0.9717039178620408,1.0,0.9856489192512022,0.9999556604358426,0.9986890908814108,0.8509642180358934,0.0,1337,7634,0,262156,8971,262156,3
C_directional,16,1.0,0.9986091479617798,0.9993040900269877,0.9999999991688675,0.9999997030290466,0.0,0.0013908520382201618,495,0,246,176624,495,176870,4
C_directional,16,0.999866660482805,0.9998434746312957,0.999855067422635,0.9999999728495533,0.9999960370841038,0.0194585448392555,0.00015652536870420182,1159,23,27,172469,1182,172496,5
