config,n_features,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold
cum4_+tcp,65,1.0,0.9975540154912352,0.9987755102040816,0.9999999370761574,0.9999983413540097,0.0,0.0024459845087647777,1210,0,78,31811,1210,31889,1
cum4_+tcp,65,0.9999923709546987,1.0,0.9999961854627988,0.9999999999417972,0.9999999959049364,0.0005367686527106817,0.0,1862,1,0,131077,1863,131077,2
cum4_+tcp,65,0.9717075195801164,1.0,0.9856507721662954,0.9879274882037897,0.7083087781853233,0.8508527477427266,0.0,1338,7633,0,262156,8971,262156,3
cum4_+tcp,65,1.0,0.9995024594334823,0.9997511678146879,1.0,1.0,0.0,0.0004975405665177815,495,0,88,176782,495,176870,4
cum4_+tcp,65,1.0,0.9999826082923662,0.9999913040705646,0.9999999989246625,0.9999998430528358,0.0,1.7391707633800203e-05,1182,0,3,172493,1182,172496,5
