family,n_1s_flows,recall_1s,n_fn_1s,n_packets_eff_fn_med,n_packets_eff_det_med,flow_duration_s_fn_med,flow_duration_s_det_med,flow_packets_s_fn_med,flow_packets_s_det_med,syn_count_fn_med,syn_count_det_med,ack_count_fn_med,ack_count_det_med,flow_iat_mean_fn_med,flow_iat_mean_det_med
flash_traffic,224885,0.5002290059363674,112391,1.0,2.0,0.0,0.9979851245880127,0.0,2.0040881633758545,1.0,2.0,0.0,0.0,0.0,0.997960090637207
http_low_rate,9603,0.5928355722170155,3910,1.0,2.0,0.0,0.9970190525054932,0.0,2.006114959716797,1.0,2.0,0.0,0.0,0.0,0.996941089630127
http_slow_body,11075,0.15340857787810383,9376,1.0,7.0,0.0,0.8160459995269775,0.0,8.578789710998535,1.0,2.0,0.0,6.0,0.0,0.13599169254302979
http_slow_header,10660,0.12045028142589118,9376,1.0,7.0,0.0,0.8149200677871704,0.0,8.5911865234375,1.0,2.0,0.0,6.0,0.0,0.13577188551425934
