config,n_features,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold
cum3_+timing,49,0.999968630403413,0.9996236946909592,0.9997961327959602,0.9999994520467921,0.9999856423456468,0.0008264462809917355,0.00037630530904073507,1209,1,12,31877,1210,31889,1
cum3_+timing,49,0.9999923709546987,1.0,0.9999961854627988,1.0,1.0,0.0005367686527106817,0.0,1862,1,0,131077,1863,131077,2
cum3_+timing,49,0.9717075195801164,1.0,0.9856507721662954,0.9999966985010849,0.9999017434071888,0.8508527477427266,0.0,1338,7633,0,262156,8971,262156,3
cum3_+timing,49,1.0,0.999310227850964,0.9996549949380404,1.0,1.0,0.0,0.0006897721490360151,495,0,122,176748,495,176870,4
cum3_+timing,49,0.9999536234572554,0.9999826082923662,0.999968115664774,0.999999997614135,0.9999996517734794,0.00676818950930626,1.7391707633800203e-05,1174,8,3,172493,1182,172496,5
