family,n_flows,n_fn,fn_rate,flow_duration_s_fn_median,flow_duration_s_det_median,n_packets_eff_fn_median,n_packets_eff_det_median,flow_packets_s_fn_median,flow_packets_s_det_median,flow_bytes_s_fn_median,flow_bytes_s_det_median,fwd_packets_fn_median,fwd_packets_det_median,bwd_packets_fn_median,bwd_packets_det_median,syn_count_fn_median,syn_count_det_median,ack_count_fn_median,ack_count_det_median,rst_count_fn_median,rst_count_det_median,psh_count_fn_median,psh_count_det_median,flow_iat_mean_fn_median,flow_iat_mean_det_median,fwd_iat_mean_fn_median,fwd_iat_mean_det_median,bwd_iat_mean_fn_median,bwd_iat_mean_det_median,fwd_header_bytes_fn_median,fwd_header_bytes_det_median,bwd_header_bytes_fn_median,bwd_header_bytes_det_median,avg_pkt_size_fn_median,avg_pkt_size_det_median
flash_traffic,224836,680,0.0030244266932341795,0.0,3.0038998126983643,1.0,3.0,0.0,0.998807430267334,0.0,73.91175079345703,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.501791000366211,0.0,1.501791000366211,0.0,0.0,60.0,180.0,0.0,0.0,74.0,74.0
http_flood,116501,259,0.0022231568827735383,0.0,9.02203369140625,1.0,21.0,0.0,2.0665082931518555,0.0,1206.200927734375,1.0,11.0,0.0,10.0,1.0,2.0,0.0,20.0,0.0,1.0,0.0,2.0,0.0,0.512071430683136,0.0,1.012900710105896,0.0,0.014788229949772358,60.0,580.0,0.0,528.0,74.0,596.2174072265625
http_low_rate,9597,2,0.0002083984578514119,1019.9603271484375,63.159908294677734,103.0,7.0,0.10098432004451752,0.1108907088637352,8.684652328491211,8.205962181091309,103.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999610900878906,10.520845413208008,9.999610900878906,10.520869255065918,0.0,0.0,2060.0,420.0,0.0,0.0,86.0,74.0
http_slow_body,11074,1,9.030160736861116e-05,999.9659423828125,64.63854217529297,102.0,7.0,0.10200347751379013,0.10912322998046875,8.772298812866211,8.075499534606934,102.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.900652885437012,10.690908432006836,9.900652885437012,10.691496849060059,0.0,0.0,2040.0,420.0,0.0,0.0,86.0,74.0
http_slow_header,10660,1,9.380863039399625e-05,999.9613647460938,64.67386627197266,101.0,7.0,0.10100390017032623,0.10925386846065521,8.686335563659668,8.08496379852295,101.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999613761901855,10.67829704284668,9.999613761901855,10.678733825683594,0.0,0.0,2020.0,420.0,0.0,0.0,86.0,74.0
http_slow_read,21826,0,0.0,,1782.344482421875,,236.0,,0.13417522609233856,,15.589719772338867,,122.0,,112.0,,2.0,,235.0,,1.0,,11.0,,7.483049392700195,,13.673095703125,,14.997612953186035,,6376.0,,5832.0,,115.55216217041016
tcp_syn_fast,32010,6,0.00018744142455482662,409.9849853515625,0.0008339881896972656,42.5,3.0,0.10238628089427948,3601.291259765625,10.492748260498047,216077.484375,42.5,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,9.999611854553223,0.0004165172576904297,9.999611854553223,0.0008330345153808594,0.0,0.0,850.0,80.0,0.0,44.0,208.0,60.0
tcp_syn_low,16017,3,0.00018730099269526128,379.9869079589844,0.0008118152618408203,42.0,3.0,0.10769613087177277,3704.124755859375,9.705597877502441,222247.484375,42.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,9.511857032775879,0.0004049539566040039,9.511857032775879,0.0008108615875244141,0.0,0.0,840.0,80.0,0.0,44.0,87.80952453613281,60.0
