config,n_features,precision,recall,f1,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,n_benign,n_attack,fold
D_timing_iat,22,0.9998424849573134,0.9952648248612375,0.9975484033190848,0.9999978025187272,0.9999423102191511,0.004132231404958678,0.0047351751387625825,1205,5,151,31738,1210,31889,1
D_timing_iat,22,0.9999841814701742,0.9645628142237006,0.9819541689481226,0.9999980241598737,0.9998690971966665,0.0010735373054213634,0.03543718577629943,1861,2,4645,126432,1863,131077,2
D_timing_iat,22,0.9716967145059898,1.0,0.9856452134419154,0.9999979956788095,0.9999430870329125,0.8511871586222272,0.0,1335,7636,0,262156,8971,262156,3
D_timing_iat,22,0.9999943002405298,0.9919432351444564,0.9959524971900225,0.9999998387663822,0.9999425246985604,0.00202020202020202,0.00805676485554362,494,1,1425,175445,495,176870,4
D_timing_iat,22,0.9998782707490407,0.9999826082923662,0.9999304367989333,0.9999999676650897,0.999995281775876,0.017766497461928935,1.7391707633800203e-05,1161,21,3,172493,1182,172496,5
