track,model,fold,family,n_flows,recall,mean_proba
A2,extra_trees,4,benign,1971,0.0,0.0032369355657026894
A2,extra_trees,4,http_flood,25402,0.999960633021022,0.9991788048185182
A2,extra_trees,4,tcp_syn_flood,131077,1.0,0.9568395675824134
A2,hist_gradient_boost,4,benign,1971,0.0015220700152207,0.0013225286665059155
A2,hist_gradient_boost,4,http_flood,25402,0.999960633021022,0.9999588558911243
A2,hist_gradient_boost,4,tcp_syn_flood,131077,0.999992370896496,0.9999942133339917
A2,logistic_regression,5,benign,3642,0.006864360241625481,0.006846069491082699
A2,logistic_regression,5,http_flood,23965,0.9998330899228041,0.9998153187851446
A2,logistic_regression,5,tcp_rst,131077,0.9999618544824798,0.9999619788321994
A2,random_forest,5,benign,3642,0.004667764964305327,0.009236683141131246
A2,random_forest,5,http_flood,23965,1.0,0.9998823283955769
A2,random_forest,5,tcp_rst,131077,1.0,0.9969393562562464
A2,extra_trees,5,benign,3642,0.0032948929159802307,0.007641405820977484
A2,extra_trees,5,http_flood,23965,1.0,0.9998869184226998
A2,extra_trees,5,tcp_rst,131077,1.0,0.9677800071713575
A2,hist_gradient_boost,5,benign,3642,0.0027457440966501922,0.0029752560206323217
A2,hist_gradient_boost,5,http_flood,23965,1.0,0.9998664540555265
A2,hist_gradient_boost,5,tcp_rst,131077,1.0,0.9998379151503227
B,logistic_regression,holdout,tcp_rst,131077,0.9999618544824798,0.9516284089995861
B,logistic_regression,holdout,tcp_syn_flood,131077,0.9987106815078161,0.9959773280787275
B,logistic_regression,holdout,udp_flood,393236,0.035019682836769775,0.07712913621371978
B,random_forest,holdout,tcp_rst,131077,0.6784027708903927,0.5641141466466275
B,random_forest,holdout,tcp_syn_flood,131077,0.9615493183396019,0.6428993644956782
B,random_forest,holdout,udp_flood,393236,0.3917189677445605,0.4743353609537276
B,extra_trees,holdout,tcp_rst,131077,0.9918063428366533,0.6352299030340944
B,extra_trees,holdout,tcp_syn_flood,131077,0.999992370896496,0.9016538370576074
B,extra_trees,holdout,udp_flood,393236,0.9593831693944603,0.6579559602884781
B,hist_gradient_boost,holdout,tcp_rst,131077,4.5774621024283436e-05,0.017606808387191978
B,hist_gradient_boost,holdout,tcp_syn_flood,131077,0.3698513087727061,0.41376846828269015
B,hist_gradient_boost,holdout,udp_flood,393236,0.002540459164471208,0.005132966525152191
