model,family,n_flows,recall,mean_proba
extra_trees,tcp_rst,131077,1.0,0.7603045281054207
extra_trees,tcp_syn_flood,131077,0.999992370896496,0.8087936473182318
extra_trees,udp_flood,393236,0.5308593312921502,0.5063638097044463
random_forest,tcp_rst,131077,0.15916598640493757,0.389586200814977
random_forest,tcp_syn_flood,131077,0.7774743089939501,0.5750118010340722
random_forest,udp_flood,393236,0.002283615945640786,0.2903108703338835
